fare_id,route_id
0,0
1,1
2,2
3,3
4,0
5,1
6,4
7,5
8,5
9,6
10,4
11,7
12,6
13,7
14,8
15,9
16,10
17,11
18,2
19,12
20,13
21,13
22,14
23,14
24,15
25,16
26,17
27,12
28,10
29,18
30,18
31,19
32,20
33,21
34,21
35,22
36,22
37,23
38,24
39,24
40,25
41,26
42,26
43,27
44,28
45,29
46,30
47,30
48,31
49,32
50,32
51,33
52,34
53,35
54,35
55,36
56,37
57,37
58,38
59,38
60,39
61,39
62,11
63,40
64,40
65,41
66,41
67,42
68,42
69,43
70,43
71,44
72,45
73,13
74,46
75,46
76,47
77,48
78,48
79,49
80,49
81,50
82,51
83,51
84,52
85,53
86,53
87,54
88,55
89,56
90,56
91,57
92,57
93,58
94,58
95,59
96,59
97,60
98,60
99,61
100,61
101,62
102,63
103,63
104,52
105,55
106,64
107,65
108,65
109,66
110,66
111,67
112,67
113,68
114,68
115,69
116,69
117,70
118,70
119,17
120,71
121,71
122,72
123,72
124,73
125,34
126,74
127,75
128,75
129,75
130,75
131,76
132,76
133,76
134,76
135,6
136,6
137,53
138,53
139,8
140,8
141,77
142,77
143,78
144,78
145,79
146,80
147,80
148,74
149,76
150,76
151,76
152,76
153,81
154,81
155,81
156,82
157,82
158,82
159,82
160,82
161,82
162,83
163,83
164,83
165,83
166,44
167,74
168,84
169,85
170,86
171,86
172,86
173,86
174,87
175,88
176,88
177,88
178,88
179,89
180,89
181,29
182,25
183,90
184,90
185,90
186,90
187,90
188,31
189,91
190,31
191,26
192,26
193,92
194,92
195,92
196,92
197,92
198,92
199,13
200,93
201,94
202,94
203,95
204,95
205,96
206,96
207,97
208,97
209,98
210,98
211,99
212,100
213,100
214,101
215,101
216,50
217,32
218,102
219,103
220,103
221,103
222,103
223,104
224,104
225,104
226,104
227,105
228,105
229,26
230,106
231,107
232,107
233,108
234,108
235,109
236,109
237,3
238,110
239,110
240,111
241,112
242,112
243,111
244,113
245,113
246,114
247,114
248,114
249,115
250,116
251,117
252,93
253,73
254,118
255,118
256,91
257,119
258,119
259,45
260,90
261,32
262,85
263,31
264,106
265,79
266,8
267,10
268,10
269,120
270,120
271,121
272,121
273,122
274,122
275,123
276,123
277,124
278,124
279,125
280,13
281,13
282,2
283,2
284,2
285,2
286,6
287,6
288,109
289,109
290,109
291,109
292,109
293,109
294,3
295,3
296,3
297,3
298,3
299,3
300,126
301,126
302,80
303,80
304,80
305,80
306,80
307,80
308,79
309,79
310,79
311,79
312,110
313,110
314,110
315,110
316,110
317,110
318,110
319,110
320,110
321,110
322,110
323,110
324,8
325,77
326,2
327,2
328,77
329,8
330,8
331,8
332,8
333,8
334,8
335,8
336,8
337,8
338,119
339,119
340,119
341,119
342,119
343,119
344,119
345,119
346,119
347,119
348,119
349,119
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,111
363,111
364,111
365,111
366,103
367,103
368,127
369,96
370,96
371,53
372,53
373,64
374,64
375,64
376,64
377,64
378,64
379,64
380,108
381,108
382,108
383,108
384,108
385,108
386,114
387,114
388,114
389,114
390,114
391,114
392,103
393,103
394,90
395,90
396,128
397,19
398,20
399,74
400,99
401,117
402,64
403,53
404,53
405,64
406,53
407,53
408,53
409,53
410,127
411,0
412,0
413,33
414,33
415,60
416,60
417,129
418,36
419,130
420,130
421,103
422,103
423,103
424,103
425,103
426,103
427,103
428,103
429,103
430,103
431,103
432,103
433,103
434,103
435,103
436,103
437,131
438,131
439,131
440,131
441,60
442,60
443,132
444,49
445,133
446,134
447,132
448,135
449,136
450,137
451,137
452,56
453,56
454,56
455,56
456,56
457,56
458,111
459,111
460,127
461,127
462,29
463,29
464,81
465,81
466,81
467,138
468,138
469,127
470,127
471,139
472,139
473,140
